Movie_ID,Year,Name,Genre
279,1900,Buffalo Bill's Wild West Parade,"Short, News"
280,1900,Buffalo Bill's Wild West Parade,"Short, News"
281,1900,Buffalo Bill's Wild West Show,"Short, News"
282,1900,Le bébé,Short
283,1900,Chez le Maréchal-Ferrant,Short
284,1900,Chez le photographe,Short
285,1900,Chinese Magic,"Short, Horror"
286,1900,Chirurgie fin de siècle,"Comedy, Short"
287,1900,The Clown and the Alchemist,"Comedy, Fantasy, Short"
288,1900,La concierge,"Short, Comedy"
289,1900,Coucher d'une Parisienne,Short
290,1900,Dance de l'ivresse,Short
291,1900,Dans les coulisses,Short
292,1900,Danse du papillon,"Documentary, Short"
293,1900,Danse du pas des foulards par des almées,Short
294,1900,La danse du ventre,Short
295,1900,Danse du voile,Short
296,1900,Danse serpentine,"Documentary, Short"
297,1900,Danses,Short
298,1900,Déclaration d'amour,Short
299,1900,Le départ d'Arlequin et de Pierrette,Short
300,1900,The Enchanted Drawing,"Animation, Short, Comedy, Fantasy"
301,1900,Faust and Marguerite,"Short, Fantasy, Horror"
302,1900,"La fée aux choux, ou la naissance des enfants",Short
303,1900,Gavotte directoire,Short
304,1900,Grandma's Reading Glass,"Short, Family"
305,1900,L'Habanera,Short
306,1900,Le duel d'Hamlet,"Short, Drama"
307,1900,Happy Hooligan,"Comedy, Short"
308,1900,The House That Jack Built,Short
309,1900,How It Feels to Be Run Over,"Short, Comedy"
310,1900,Chimmie Hicks and the Rum Omelet,"Comedy, Short"
311,1900,Above the Limit,"Short, Comedy"
312,1900,Le lapin,Short
313,1900,Let Me Dream Again,"Short, Comedy"
314,1900,Leçon de danse,Short
315,1900,Le marchand de coco,Short
316,1900,Marché à la volaille,Short
317,1900,Le matelot,Short
318,1900,Eine moderne Jungfrau von Orleans,Short
319,1899,Maple Leaf Viewing,"Short, Horror"
320,1900,Mort d'Adonis,Short
321,1900,The Mystic Swing,"Fantasy, Short"
322,1900,Panorama de Barcelona: monumentos y fiestas,"Short, Documentary"
323,1900,Pas Japonais,Short
324,1900,Pas de grâce,Short
325,1900,Pas des éventails,Short
326,1900,Pas du poignard,Short
327,1900,La paysanne,Short
328,1900,La petite magicienne,Short
329,1900,Le Polichinelle,Short
330,1900,La poupée noire,Short
331,1900,La reine des jouets,Short
332,1900,Retour des champs,"Documentary, Short"
333,1900,Le sang d'Adonis donnant naissance à la rose rouge,Short
334,1900,Saut humidifié de M. Plick,"Short, Comedy"
335,1900,Soldiers of the Cross,"Short, Biography, Drama"
336,1900,La source,Short
337,1900,Spanish Bullfight,"Short, Sport"
338,1900,Suite de la danse,Short
339,1900,La tarentelle,Short
340,1900,Uncle Josh in a Spooky Hotel,"Comedy, Fantasy, Short"
341,1900,Uncle Josh's Nightmare,"Comedy, Short, Fantasy"
342,1900,Une rage de dents,"Short, Comedy"
343,1900,Valse directoire,Short
344,1900,Valse lente,Short
345,1900,L'écossaise,Short
346,1901,Another Job for the Undertaker,"Short, Comedy"
347,1901,Buffalo Bill's Wild West Parade,"Documentary, Short, News"
348,1901,Charmant froufrou,Short
349,1901,"What Came Out of the Cheese; or, The Lilliputians in a New York Restaurant","Short, Comedy"
350,1901,The Countryman's First Sight of the Animated Pictures,"Short, Comedy"
351,1901,Danses basques,Short
352,1901,Day at the Circus,"Documentary, Short"
353,1901,Execution of Czolgosz with Panorama of Auburn Prison,"Short, Drama, History"
354,1901,Exercício de Artilharia no Hipódromo de Belém,"Documentary, Short"
355,1901,Fire!,"Short, Action, Drama"
356,1901,Frivolité,Short
357,1901,The Haunted Curiosity Shop,"Short, Comedy, Fantasy, Horror"
358,1901,History of a Crime,"Short, Crime, Drama"
359,1901,The Man with the Rubber Head,"Short, Comedy, Fantasy"
360,1901,Hussards et grisettes,Short
361,1901,Lavatory moderne,Short
362,1901,Lecture quotidienne,Short
363,1901,Magical Sword,"Short, Fantasy, Romance"
364,1901,Panorama of Esplanade by Night,"Documentary, Short"
365,1901,Parada de Bombeiros,"Documentary, Short"
366,1901,Uma Parada dos Alunos da Casa Pia de Lisboa,"Documentary, Short"
367,1901,Pas de colombine,Short
368,1901,Little Red Riding Hood,"Short, Fantasy"
369,1901,A Road for Children's Bicycles in Barcelona,"Short, Documentary"
370,1901,Scrooge; or Marley's Ghost,"Short, Drama, Fantasy, Horror"
371,1901,Scène d'amour,Short
372,1901,Scène d'ivresse,Short
373,1902,The Devil's Seven Castles,"Short, Drama, Horror"
374,1901,Tel est pris qui croyait prendre,Short
375,1901,Uma Tourada à Antiga Portuguesa,"Documentary, Short"
376,1901,A táncz,"Documentary, Short"
377,1901,Undressing Extraordinary,"Short, Comedy, Fantasy"
378,1901,Les vagues,Short
379,1901,Visit of the British Navy to Barcelona,"Documentary, Short"
380,1903,Sleeping Beauty,"Fantasy, Short, Drama"
381,1902,Buffalo Bill's Wild West Show,"Short, News"
382,1902,Carnaval en las ramblas,"Short, Documentary"
383,1902,Carreras de caballos en el hipódromo de Barcelona,"Short, Documentary"
384,1902,Miss Dundee and Her Performing Dogs,"Documentary, Short"
385,1902,Les clowns,"Short, Comedy"
386,1902,La cour des miracles,"Short, Comedy"
387,1902,The Coronation of King Edward VII,"Short, History"
388,1902,Danse excentrique,"Short, Music"
389,1902,Danse fantaisiste,Short
390,1902,Danse mauresque,Short
391,1902,La dent récalcitrante,"Short, Comedy"
392,1903,The Enchanted Cup,"Short, Fantasy"
393,1902,En faction,"Short, Comedy"
394,1902,Farces de cuisinière,"Short, Comedy"
395,1902,La fiole enchantée,Short
396,1902,Fruits de saison,Short
397,1902,La gavotte,Short
398,1902,La gigue,Short
399,1902,Jack and the Beanstalk,"Short, Fantasy"
400,1902,Le lion savant,"Short, Comedy"
401,1902,Le marchand de ballons,"Short, Comedy"
402,1902,Mother Goose Nursery Rhymes,"Short, Comedy"
403,1902,Le pommier,Short
404,1902,Pour secouer la salade,Short
405,1902,La première gamelle,"Short, Comedy"
406,1900,The Prince of Darkness,"Short, Horror"
407,1902,Procession of the Daughters of the Virgin Mary from the Sants Church,"Documentary, Short"
408,1902,Quadrille réaliste,Short
409,1902,Midwife to the Upper Classes,"Short, Comedy"
410,1901,Demolishing and Building Up the Star Theatre,"Documentary, Short"
411,1902,Trompé mais content,"Short, Comedy"
412,1900,The Troublesome Fly,"Short, Comedy, Horror"
413,1902,The Devil's Money Bags,"Short, Comedy, Fantasy, Horror"
414,1902,Uncle Josh at the Moving Picture Show,"Comedy, Short"
415,1902,A Peculiar Cabinet,Short
416,1902,Alcohol and Its Victims,"Short, Drama"
417,1902,A Trip to the Moon,"Short, Action, Adventure, Comedy, Fantasy, Sci-Fi"
418,1902,The Wild Man of Borneo,"Short, Drama"
419,1902,L'équilibriste,Short
420,1903,Alice in Wonderland,"Short, Family, Fantasy"
421,1903,Les apaches pas veinards,Short
422,1903,Les aventures d'un voyageur trop pressé,Short
423,1903,The Enchanted Box,"Short, Fantasy"
424,1903,Les braconniers,Short
425,1903,Buffalo Bill's Parade,"Documentary, Short"
426,1903,Buffalo Bill's Street Parade,"Documentary, Short"
427,1903,Cake-walk de la pendule,Short
428,1903,Carreras de bicicletas en el parque,"Documentary, Short"
429,1903,La chasse au cambrioleur,Short
430,1903,A Chess Dispute,"Short, Comedy"
431,1903,Comme on fait son lit on se couche,Short
432,1903,How Monsieur Takes His Bath,"Short, Comedy"
433,1903,Compagnons de voyage encombrants,Short
434,1903,Dorothy's Dream,"Short, Fantasy"
435,1903,Enlèvement en automobile et mariage précipité,Short
436,1903,An Extraordinary Cab Accident,"Short, Comedy"
437,1903,Faust et Méphistophélès,"Short, Drama, Horror"
438,1903,Le fiancé ensorcelé,Short
439,1903,The Great Train Robbery,"Short, Action, Adventure, Crime, Western"
440,1903,La guirlande merveilleuse,"Short, Fantasy"
441,1903,Gulliver in the Land of Giants,Short
442,1903,Capital Execution,"Short, Drama"
443,1903,Hiawatha,"Short, Adventure, Drama"
444,1903,Illusionniste renversant,Short
445,1903,Jocko musicien,Short
446,1903,Kit Carson,"Short, Western"
447,1903,Life of an American Fireman,"Short, Action"
448,1903,Le liqueur du couvent,Short
449,1903,Lutteurs américains,Short
450,1903,La main du professeur Hamilton ou le roi des dollars,Short
451,1903,Mary Jane's Mishap,"Short, Comedy"
452,1903,The Messenger Boy's Mistake,"Short, Comedy, Romance"
453,1903,Modelage express,Short
454,1903,La mouche,Short
455,1903,The Music Lover,"Short, Comedy, Music"
456,1903,N.Y. Fire Department Returning,"Documentary, Short"
457,1903,Ne bougeons plus,Short
458,1903,Nos bons étudiants,Short
459,1903,"Panorama of Riker's Island, N.Y.","Short, Documentary"
460,1903,The Pioneers,"Western, Short"
461,1903,Potage indigeste,Short
462,1903,La poule fantaisiste,Short
463,1903,Barcelona Harbour,"Documentary, Short"
464,1896,Rip Van Winkle,"Short, Comedy"
465,1903,The Kingdom of the Fairies,"Short, Adventure, Fantasy"
466,1903,Répétition dans un cirque,Short
467,1903,Secours aux naufragés,Short
468,1903,Service précipité,Short
469,1903,The Sick Kitten,"Short, Comedy, Family"
470,1903,Les surprises de l'affichage,Short
471,1903,Uncle Tom's Cabin,"Short, Drama"
472,1903,Uncle Tom's Cabin,"Short, Drama"
473,1905,La valise enchantée,Short
474,1903,Le voleur sacrilège,Short
475,1903,Voyage of the 'Arctic',"Short, Drama"
476,1904,Après la fête,Short
477,1904,L'assassinat du courrier de Lyon,"Short, Drama"
478,1904,Behind the Scenes,"Short, Comedy"
479,1904,Rum vs. Cherries,"Short, Drama"
480,1904,The Enchanted Trunk,"Short, Fantasy"
481,1904,A Collier's Life,Short
482,1904,Comment on disperse les foules,"Short, Comedy"
483,1904,Les deux rivaux,"Short, Comedy"
484,1904,Les enfants du miracle,Short
485,1904,La gavotte de la reine,Short
486,1905,A Gentleman of France,"Drama, Short"
487,1904,The Great Train Robbery,"Short, Drama, Western"
488,1912,The Land Beyond the Sunset,"Short, Drama, Fantasy"
489,1904,La leçon de pipeau,Short
490,1904,L'oiseau envolé,Short
491,1904,Opening the Williamsburg Bridge,"Short, News"
492,1904,Personal,"Comedy, Short"
493,1904,"Pierrot, Murderer",Short
494,1904,Le pompon malencontreux,Short
495,1907,The Pearl Fisher,"Short, Fantasy"
496,1904,Railroad Smashup,"Short, Action"
497,1904,A Railway Tragedy,"Short, Crime"
498,1905,Rescued by Rover,"Short, Crime, Drama, Family"
499,1904,An Impossible Voyage,"Short, Action, Adventure, Family, Fantasy, Sci-Fi"
500,1905,The Abductors,Short
